会议名称,简称,CCF等级,CORE等级,CCF领域,数据来源,匹配依据,CORE名称别名
International Conference on Cyber Security and Cloud Computing,CSCloud,C,,网络与信息安全,CCF2026,仅CCF收录,
International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,,C,,CORE2026,仅CORE收录,
"International Conference on Data Science, Technology and Applications",DATA,,C,,CORE2026,仅CORE收录,
International Conference on Database and Expert System Applications,DEXA,C,C,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,International Conference on Database and Expert Systems Applications
International Conference on Database Systems for Advanced Applications,DASFAA,B,B,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
International Conference on Database Theory,ICDT,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
International Conference on Dependability of Computer Systems,DEPCoS,,National: Poland,,CORE2026,仅CORE收录,
International Conference on Dependable Systems and Networks,DSN,B,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,IEEE/IFIP International Conference on Dependable Systems and Networks
"International Conference on Dependable, Autonomic and Secure Computing",DASC,,C,,CORE2026,仅CORE收录,
International Conference on Digital Forensics & Cyber Crime,ICDF2C,C,,网络与信息安全,CCF2026,仅CCF收录,
International Conference on Digital Society,ICDS,,C,,CORE2026,仅CORE收录,
International Conference on Distributed Artificial Intelligence,DAI,C,,人工智能,CCF2026,仅CCF收录,
International Conference on Distributed Computing and Artificial Intelligence,DCAI,,National(Spain),,CORE2026,仅CORE收录,
International Conference on Distributed Computing and Internet Technologies,ICDCIT,,National: India,,CORE2026,仅CORE收录,
International Conference on Distributed Computing and Networking,ICDCN,,National: India,,CORE2026,仅CORE收录,
International Conference on Document Analysis and Recognition,ICDAR,C,A,人工智能,CCF2026|CORE2026,简称唯一匹配,IEEE International Conference on Document Analysis and Recognition
International Conference on Dublin Core and Metadata Applications,DC,,C,,CORE2026,仅CORE收录,
International Conference on Electronic Commerce,ICEC,,C,,CORE2026,仅CORE收录,
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,,B,,CORE2026,仅CORE收录,
International Conference on Embedded Software,EMSOFT,B,Journal Published,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,,B,,CORE2026,仅CORE收录,
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,,Unranked,,CORE2026,仅CORE收录,
International Conference on Engineering Applications of Neural Networks,EANN,,C,,CORE2026,仅CORE收录,
International Conference on Engineering of Complex Computer Systems,ICECCS,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,IEEE International Conference on Engineering of Complex Computer Systems
International Conference on Entertainment Computing,ICEC,,C,,CORE2026,仅CORE收录,
International Conference on Evaluation and Assessment in Software Engineering,EASE,C,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,,B,,CORE2026,仅CORE收录,
International Conference on Evolutionary Multi-Criterion Optimization,EMO,,C,,CORE2026,仅CORE收录,
International Conference on Extending Database Technology,EDBT,B,B,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,Extending Database Technology
International Conference on Factory Communication Systems,WFCS,,C,,CORE2026,仅CORE收录,
International Conference on Field-Programmable Logic and Applications,FPL,C,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,Field Programmable Logic and Applications
International Conference on Field-Programmable Technology,FPT,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
International Conference on Formal Engineering Methods,ICFEM,C,C,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
