期刊名称,简称,CCF等级,CCF领域,中科院大类,中科院大类分区,中科院 Top,WOS索引,中科院小类分区,特殊标注,数据来源,JCR类别,JCR影响因子2024,JCR分区2024
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,,,,工程技术,4区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [283/352]",,中科院2025,,,
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,,,,计算机科学,2区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::2区 [6/53] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [61/352] | TELECOMMUNICATIONS 电信学::3区 [24/119]",,中科院2025,,,
IEEE Transactions on Affective Computing,TAC,B,人工智能,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [17/196] | COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::2区 [4/32]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, CYBERNETICS(SCIE)",9.8,Q1
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,,,,计算机科学,1区,是,SCIE,"TELECOMMUNICATIONS 电信学::1区 [7/119] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [32/352]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",5.8,Q1
"IEEE Transactions on Audio, Speech and Language Processing （原 IEEE/ACM Transactions on Audio, Speech and Language Processing）",TASLP,B,人工智能,,,,,,,CCF2026,,,
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,,,,计算机科学,2区,是,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::2区 [11/83] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [37/352]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",7,Q1
IEEE Transactions on Automation Science and Engineering,TASAE,B,交叉/综合/新兴,计算机科学,2区,否,SCIE,AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::2区 [13/83],,中科院2025|CCF2026|JCR2024,AUTOMATION & CONTROL SYSTEMS(SCIE),6.4,Q1
IEEE Transactions on Big Data,TBD,C,交叉/综合/新兴,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [33/249] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::2区 [14/143]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",5.7,Q1
IEEE TRANSACTIONS ON BROADCASTING,,,,计算机科学,2区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [57/352] | TELECOMMUNICATIONS 电信学::2区 [21/119]",,中科院2025,,,
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,TCSVT,B,计算机图形学与多媒体,计算机科学,1区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [7/352]",,中科院2025|CCF2026|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",11.1,Q1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,TCASI,C,计算机体系结构/并行与分布计算/存储系统,工程技术,2区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [44/352]",,中科院2025|CCF2026|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",5.2,Q1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,,,,工程技术,2区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [51/352]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",4.9,Q1
IEEE Transactions on Cloud Computing,TCC,B,计算机体系结构/并行与分布计算/存储系统,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::1区 [12/143] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [29/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",5,Q1
IEEE Transactions on Cognitive and Developmental Systems,,,,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [53/196] | NEUROSCIENCES 神经科学::3区 [94/309] | ROBOTICS 机器人学::3区 [13/47]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);NEUROSCIENCES(SCIE);ROBOTICS(SCIE)",4.9,Q1
IEEE Transactions on Cognitive Communications and Networking,,,,计算机科学,1区,是,SCIE,TELECOMMUNICATIONS 电信学::1区 [6/119],,中科院2025|JCR2024,TELECOMMUNICATIONS(SCIE),7,Q1
IEEE TRANSACTIONS ON COMMUNICATIONS,TCOM,B,计算机网络,计算机科学,2区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [39/352] | TELECOMMUNICATIONS 电信学::2区 [12/119]",,中科院2025|CCF2026|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",8.3,Q1
IEEE Transactions on Components Packaging and Manufacturing Technology,,,,工程技术,3区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [160/352] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::3区 [196/436] | ENGINEERING, MANUFACTURING 工程：制造::4区 [35/70]",,中科院2025,,,
IEEE Transactions on Computational Imaging,,,,计算机科学,2区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [64/352] | IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY 成像科学与照相技术::2区 [7/35]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE)",4.8,Q1
IEEE Transactions on Computational Social Systems,TCSS,C,交叉/综合/新兴,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::3区 [9/32] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [60/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, CYBERNETICS(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",4.9,Q1
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,TCAD,A,计算机体系结构/并行与分布计算/存储系统,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::3区 [17/58] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::3区 [61/172] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [97/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",2.9,Q2
IEEE TRANSACTIONS ON COMPUTERS,TC,A,计算机体系结构/并行与分布计算/存储系统,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::2区 [9/58] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [67/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",3.8,Q2
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,,,,计算机科学,2区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [50/352] | TELECOMMUNICATIONS 电信学::2区 [19/119]",,中科院2025,,,
IEEE Transactions on Control of Network Systems,,,,计算机科学,3区,否,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::3区 [27/83] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [94/249]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",5,Q1
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,,,,计算机科学,2区,否,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::2区 [17/83] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [71/352]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",3.9,Q2
IEEE Transactions on Cybernetics,,B,人工智能,计算机科学,1区,是,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::1区 [5/83] | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::1区 [10/196] | COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::1区 [1/32]",,中科院2025|CCF2026|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, CYBERNETICS(SCIE)",10.5,Q1
IEEE Transactions on Dependable and Secure Computing,TDSC,A,网络与信息安全,计算机科学,2区,是,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::1区 [3/58] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::1区 [10/131] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [26/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",7.5,Q1
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,,,,工程技术,3区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [121/352] | PHYSICS, APPLIED 物理：应用::3区 [57/178]",,中科院2025,,,
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,,,,工程技术,2区,否,SCIE,"PHYSICS, APPLIED 物理：应用::2区 [43/178] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [89/352]",,中科院2025,,,
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,,,,工程技术,3区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [128/352] | TELECOMMUNICATIONS 电信学::3区 [47/119]",,中科院2025,,,
IEEE TRANSACTIONS ON ELECTRON DEVICES,,,,工程技术,3区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [113/352] | PHYSICS, APPLIED 物理：应用::3区 [51/178]",,中科院2025,,,
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [48/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",6.5,Q1
IEEE Transactions on Emerging Topics in Computing,,,,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [41/249] | TELECOMMUNICATIONS 电信学::3区 [25/119]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",5.4,Q1
IEEE TRANSACTIONS ON ENERGY CONVERSION,,,,工程技术,2区,否,SCIE,"ENERGY & FUELS 能源与燃料::2区 [29/171] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [40/352]",,中科院2025,,,
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,TEC,B,人工智能,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::1区 [6/196] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::1区 [3/143]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",12,Q1
IEEE TRANSACTIONS ON FUZZY SYSTEMS,TFS,B,人工智能,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::1区 [5/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [4/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",11.9,Q1
IEEE Transactions on Games,TG,C,人工智能,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [76/196] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [47/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2.8,Q2
IEEE Transactions on Geoscience and Remote Sensing,TGARS,B,交叉/综合/新兴,,,,,,,CCF2026|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);GEOCHEMISTRY & GEOPHYSICS(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);REMOTE SENSING(SCIE)",8.6,Q1
IEEE Transactions on Green Communications and Networking,,,,计算机科学,2区,否,SCIE,TELECOMMUNICATIONS 电信学::2区 [22/119],,中科院2025|JCR2024,TELECOMMUNICATIONS(SCIE),6.7,Q1
IEEE Transactions on Haptics,,,,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::3区 [11/32]",,中科院2025|JCR2024,"COMPUTER SCIENCE, CYBERNETICS(SCIE)",2.8,Q2
IEEE Transactions on Human-Machine Systems,,B,人机交互与普适计算,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [52/196] | COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::3区 [8/32]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, CYBERNETICS(SCIE)",4.4,Q2
IEEE TRANSACTIONS ON IMAGE PROCESSING,TIP,A,计算机图形学与多媒体,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::1区 [8/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [9/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",13.7,Q1
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,,,,工程技术,1区,是,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::1区 [4/83] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [8/352] | INSTRUMENTS & INSTRUMENTATION 仪器仪表::1区 [1/76]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",7.2,Q1
IEEE Transactions on Industrial Informatics,TII,C,交叉/综合/新兴,计算机科学,1区,是,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::1区 [2/83] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::1区 [3/172] | ENGINEERING, INDUSTRIAL 工程：工业::1区 [3/70]",,中科院2025|CCF2026|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, INDUSTRIAL(SCIE)",9.9,Q1
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,,,,工程技术,2区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [69/352] | ENGINEERING, MULTIDISCIPLINARY 工程：综合::2区 [24/179]",,中科院2025,,,
IEEE Transactions on Information Forensics and Security,TIFS,A,网络与信息安全,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::1区 [7/143] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [21/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",8,Q1
IEEE TRANSACTIONS ON INFORMATION THEORY,TIT,A,计算机科学理论,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [59/249] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [87/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);MATHEMATICS, APPLIED(SCIE)",2.9,Q1
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,,,,工程技术,2区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [68/352] | INSTRUMENTS & INSTRUMENTATION 仪器仪表::2区 [12/76]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",5.9,Q1
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,TITS,B,交叉/综合/新兴,计算机科学,2区,是,SCIE,"ENGINEERING, CIVIL 工程：土木::1区 [11/180] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [35/352] | TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技::2区 [11/71]",,中科院2025|CCF2026|JCR2024,"ENGINEERING, CIVIL(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",8.4,Q1
IEEE Transactions on Intelligent Vehicles,,,,计算机科学,1区,是,SCIEOnHold,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [20/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [30/352] | TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技::2区 [10/71]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",14.3,Q1
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,TKDE,A,数据库/数据挖掘/内容检索,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::1区 [12/249] | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [19/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [29/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",10.4,Q1
IEEE TRANSACTIONS ON MAGNETICS,,,,工程技术,3区,否,SCIE,"PHYSICS, APPLIED 物理：应用::3区 [82/178] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [176/352]",,中科院2025,,,
IEEE Transactions on Medical Imaging,TMI,B,交叉/综合/新兴,,,,,,,CCF2026|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, BIOMEDICAL(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",9.8,Q1
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,,,,工程技术,1区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [36/352]",,中科院2025,,,
IEEE TRANSACTIONS ON MOBILE COMPUTING,TMC,A,计算机网络,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::1区 [14/249] | TELECOMMUNICATIONS 电信学::1区 [8/119]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",9.2,Q1
IEEE TRANSACTIONS ON MULTIMEDIA,TMM,A,计算机图形学与多媒体,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::1区 [4/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::1区 [1/131] | TELECOMMUNICATIONS 电信学::1区 [4/119]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);TELECOMMUNICATIONS(SCIE)",9.7,Q1
IEEE TRANSACTIONS ON NANOTECHNOLOGY,,,,工程技术,4区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [194/352] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [233/436] | NANOSCIENCE & NANOTECHNOLOGY 纳米科技::4区 [81/139] | PHYSICS, APPLIED 物理：应用::4区 [93/178]",,中科院2025,,,
IEEE Transactions on Network and Service Management,TNSM,C,计算机网络,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [46/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",5.4,Q1
IEEE Transactions on Network Science and Engineering,,,,计算机科学,2区,否,SCIE,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::1区 [6/136] | ENGINEERING, MULTIDISCIPLINARY 工程：综合::2区 [15/179]",,中科院2025,,,
IEEE Transactions on Networking （原 IEEE/ACM Transactions on Networking）,TON,A,计算机网络,,,,,,,CCF2026,,,
IEEE Transactions on Neural Networks and Learning Systems,TNNLS,B,人工智能,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::1区 [1/58] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::1区 [6/143] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [20/352] | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [16/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",8.9,Q1
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,,,,工程技术,2区,否,SCIE,"NUCLEAR SCIENCE & TECHNOLOGY 核科学技术::1区 [3/41] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [108/352]",,中科院2025,,,
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,TPDS,A,计算机体系结构/并行与分布计算/存储系统,计算机科学,2区,是,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::1区 [10/143] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [41/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",6,Q1
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,TPAMI,A,人工智能,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::1区 [3/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [3/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",18.6,Q1
IEEE TRANSACTIONS ON POWER DELIVERY,,,,工程技术,2区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [58/352]",,中科院2025,,,
IEEE TRANSACTIONS ON POWER ELECTRONICS,,,,工程技术,1区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [5/352]",,中科院2025,,,
IEEE TRANSACTIONS ON POWER SYSTEMS,,,,工程技术,1区,是,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::1区 [22/352]",,中科院2025,,,
IEEE TRANSACTIONS ON RELIABILITY,,C,交叉/综合/新兴,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::2区 [6/58] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::2区 [17/131] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::2区 [60/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",5.7,Q1
IEEE Transactions on Robotics,TR,B,交叉/综合/新兴,计算机科学,1区,是,SCIE,ROBOTICS 机器人学::2区 [5/47],,中科院2025|CCF2026|JCR2024,ROBOTICS(SCIE),10.5,Q1
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,,,,工程技术,4区,否,SCIE,"PHYSICS, CONDENSED MATTER 物理：凝聚态物理::3区 [39/78] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [196/352] | ENGINEERING, MANUFACTURING 工程：制造::4区 [47/70] | PHYSICS, APPLIED 物理：应用::4区 [95/178]",,中科院2025,,,
